ROWID,Country,State,District,Year,Class,Schools_Surveyed,Students_Surveyed,AVG_L813,AVG_M601,AVG_SCI703,AVG_SST605,AVG_M801,AVG_SCI801,AVG_SST704
1,India,Jammu And Kashmir,Anantnag,"Calendar Year (Jan - Dec), 2017",8,204.0,2076.0,35.0,18.97,29.4,22.74,16.92,23.32,9.02
2,India,Jammu And Kashmir,Anantnag,"Calendar Year (Jan - Dec), 2021",8,320.0,4964.0,64.87,62.03,51.32,50.4,45.54,58.89,60.96
3,India,Jammu And Kashmir,Budgam,"Calendar Year (Jan - Dec), 2017",8,204.0,2604.0,48.63,40.0,42.65,45.01,40.18,45.59,16.07
4,India,Jammu And Kashmir,Budgam,"Calendar Year (Jan - Dec), 2021",8,292.0,5108.0,58.49,59.27,46.52,46.71,42.95,52.28,47.45
5,India,Jammu And Kashmir,Baramulla,"Calendar Year (Jan - Dec), 2017",8,172.0,2252.0,45.38,41.75,41.63,41.74,47.84,40.69,4.68
6,India,Jammu And Kashmir,Baramulla,"Calendar Year (Jan - Dec), 2021",8,280.0,5532.0,58.37,55.49,46.47,44.99,38.2,53.29,55.15
7,India,Jammu And Kashmir,Doda,"Calendar Year (Jan - Dec), 2017",8,204.0,2840.0,43.63,37.86,36.05,36.34,19.27,40.79,11.62
8,India,Jammu And Kashmir,Doda,"Calendar Year (Jan - Dec), 2021",8,280.0,5164.0,48.39,57.27,42.14,31.03,32.42,42.72,36.02
9,India,Jammu And Kashmir,Jammu,"Calendar Year (Jan - Dec), 2017",8,204.0,3136.0,40.63,41.71,39.51,35.97,30.05,38.54,9.33
10,India,Jammu And Kashmir,Jammu,"Calendar Year (Jan - Dec), 2021",8,324.0,6276.0,69.26,60.12,49.86,47.45,43.64,62.24,59.4
11,India,Jammu And Kashmir,Kathua,"Calendar Year (Jan - Dec), 2017",8,204.0,3100.0,40.26,37.57,33.39,39.1,32.49,39.12,13.6
12,India,Jammu And Kashmir,Kathua,"Calendar Year (Jan - Dec), 2021",8,292.0,5456.0,54.81,56.93,41.52,42.93,38.72,49.59,44.87
13,India,Jammu And Kashmir,Kupwara,"Calendar Year (Jan - Dec), 2017",8,180.0,2688.0,53.21,40.38,47.05,46.13,29.44,48.3,14.17
14,India,Jammu And Kashmir,Kupwara,"Calendar Year (Jan - Dec), 2021",8,296.0,5368.0,53.13,56.74,44.13,38.89,33.21,51.84,45.79
15,India,Jammu And Kashmir,Poonch,"Calendar Year (Jan - Dec), 2017",8,204.0,3620.0,47.71,44.9,43.41,40.0,33.78,44.17,21.62
16,India,Jammu And Kashmir,Poonch,"Calendar Year (Jan - Dec), 2021",8,264.0,5044.0,50.14,52.85,37.78,39.26,40.18,43.34,45.77
17,India,Jammu And Kashmir,Pulwama,"Calendar Year (Jan - Dec), 2017",8,204.0,1928.0,18.88,12.08,16.34,20.54,9.5,21.41,17.77
18,India,Jammu And Kashmir,Pulwama,"Calendar Year (Jan - Dec), 2021",8,292.0,6536.0,57.84,56.97,45.84,43.79,40.35,52.66,52.41
19,India,Jammu And Kashmir,Rajouri,"Calendar Year (Jan - Dec), 2017",8,204.0,3368.0,44.09,41.83,41.1,39.79,34.27,36.14,15.73
20,India,Jammu And Kashmir,Rajouri,"Calendar Year (Jan - Dec), 2021",8,292.0,5484.0,44.12,46.43,31.85,36.63,32.64,39.89,36.49
21,India,Jammu And Kashmir,Srinagar,"Calendar Year (Jan - Dec), 2017",8,192.0,1764.0,45.58,26.91,34.94,39.46,26.61,42.95,10.55
22,India,Jammu And Kashmir,Srinagar,"Calendar Year (Jan - Dec), 2021",8,284.0,4632.0,71.6,62.46,56.82,55.62,46.23,60.06,63.82
23,India,Jammu And Kashmir,Udhampur,"Calendar Year (Jan - Dec), 2017",8,204.0,3572.0,43.55,39.73,33.61,36.17,30.44,38.79,14.67
24,India,Jammu And Kashmir,Udhampur,"Calendar Year (Jan - Dec), 2021",8,280.0,5460.0,55.11,51.43,43.36,35.22,36.84,51.67,41.71
25,India,Jammu And Kashmir,Kishtwar,"Calendar Year (Jan - Dec), 2017",8,204.0,2752.0,53.26,38.18,35.13,45.78,40.95,43.88,14.84
26,India,Jammu And Kashmir,Kishtwar,"Calendar Year (Jan - Dec), 2021",8,296.0,4556.0,48.64,52.98,36.19,40.53,36.39,41.67,35.32
27,India,Jammu And Kashmir,Ramban,"Calendar Year (Jan - Dec), 2017",8,204.0,3768.0,47.49,46.74,42.91,36.84,31.91,48.04,13.06
28,India,Jammu And Kashmir,Ramban,"Calendar Year (Jan - Dec), 2021",8,244.0,5064.0,37.77,48.9,33.83,30.11,32.72,36.68,33.12
29,India,Jammu And Kashmir,Kulgam,"Calendar Year (Jan - Dec), 2017",8,200.0,2276.0,18.25,14.07,11.68,22.5,49.16,8.75,6.35
30,India,Jammu And Kashmir,Kulgam,"Calendar Year (Jan - Dec), 2021",8,320.0,4912.0,53.23,57.31,39.58,38.73,37.77,46.66,37.45
31,India,Jammu And Kashmir,Bandipora,"Calendar Year (Jan - Dec), 2017",8,196.0,2608.0,41.75,40.69,34.26,37.88,23.88,38.34,15.52
32,India,Jammu And Kashmir,Bandipora,"Calendar Year (Jan - Dec), 2021",8,284.0,4580.0,50.22,62.74,42.65,37.67,38.98,50.37,37.08
33,India,Jammu And Kashmir,Samba,"Calendar Year (Jan - Dec), 2017",8,204.0,2644.0,48.93,40.12,41.62,34.64,27.89,44.77,5.93
34,India,Jammu And Kashmir,Samba,"Calendar Year (Jan - Dec), 2021",8,284.0,4088.0,60.03,52.09,40.25,38.8,35.77,51.23,37.26
35,India,Jammu And Kashmir,Shopian,"Calendar Year (Jan - Dec), 2017",8,180.0,1420.0,13.82,33.51,12.2,10.7,27.95,14.27,4.35
36,India,Jammu And Kashmir,Shopian,"Calendar Year (Jan - Dec), 2021",8,264.0,4600.0,56.67,62.93,48.8,49.31,41.68,56.24,53.69
37,India,Jammu And Kashmir,Ganderbal,"Calendar Year (Jan - Dec), 2017",8,192.0,2500.0,50.12,48.99,48.43,40.48,45.87,45.62,18.65
38,India,Jammu And Kashmir,Ganderbal,"Calendar Year (Jan - Dec), 2021",8,276.0,4688.0,50.64,50.27,39.65,32.1,33.62,47.88,42.7
39,India,Jammu And Kashmir,Reasi,"Calendar Year (Jan - Dec), 2017",8,200.0,3404.0,34.48,29.14,33.28,29.73,27.73,34.11,12.32
40,India,Jammu And Kashmir,Reasi,"Calendar Year (Jan - Dec), 2021",8,272.0,4908.0,41.99,49.78,33.37,34.46,33.24,38.23,37.47
41,India,Himachal Pradesh,Bilaspur,"Calendar Year (Jan - Dec), 2017",8,204.0,3872.0,60.89,30.58,30.92,47.42,32.44,65.5,40.29
42,India,Himachal Pradesh,Bilaspur,"Calendar Year (Jan - Dec), 2021",8,276.0,4840.0,56.07,46.27,34.7,40.39,31.13,48.44,37.13
43,India,Himachal Pradesh,Chamba,"Calendar Year (Jan - Dec), 2017",8,204.0,4000.0,57.43,34.71,28.93,45.1,24.14,55.96,41.58
44,India,Himachal Pradesh,Chamba,"Calendar Year (Jan - Dec), 2021",8,276.0,5884.0,50.14,42.91,33.25,39.5,28.15,40.02,33.27
45,India,Himachal Pradesh,Hamirpur,"Calendar Year (Jan - Dec), 2017",8,204.0,3692.0,53.62,29.96,31.59,33.8,30.7,60.02,29.0
46,India,Himachal Pradesh,Hamirpur,"Calendar Year (Jan - Dec), 2021",8,288.0,5460.0,58.85,50.06,39.15,38.49,33.32,51.59,35.95
47,India,Himachal Pradesh,Kangra,"Calendar Year (Jan - Dec), 2017",8,204.0,3604.0,59.11,36.84,33.86,47.28,32.54,66.08,43.32
48,India,Himachal Pradesh,Kangra,"Calendar Year (Jan - Dec), 2021",8,308.0,5952.0,60.77,50.22,39.25,40.2,31.1,52.79,42.02
49,India,Himachal Pradesh,Kinnaur,"Calendar Year (Jan - Dec), 2017",8,204.0,2400.0,62.74,24.24,32.33,45.67,29.7,68.34,39.93
50,India,Himachal Pradesh,Kinnaur,"Calendar Year (Jan - Dec), 2021",8,220.0,2500.0,55.62,42.65,37.67,41.97,31.88,47.34,35.56
51,India,Himachal Pradesh,Kullu,"Calendar Year (Jan - Dec), 2017",8,204.0,4612.0,58.28,27.08,28.63,49.26,30.33,67.42,38.65
52,India,Himachal Pradesh,Kullu,"Calendar Year (Jan - Dec), 2021",8,232.0,4904.0,55.06,43.23,36.37,35.75,30.01,47.83,39.01
53,India,Himachal Pradesh,Lahul And Spiti,"Calendar Year (Jan - Dec), 2017",8,64.0,480.0,59.67,26.98,30.6,55.0,29.82,64.63,40.35
54,India,Himachal Pradesh,Lahul And Spiti,"Calendar Year (Jan - Dec), 2021",8,72.0,688.0,62.72,55.48,40.49,26.58,26.66,55.46,31.39
55,India,Himachal Pradesh,Mandi,"Calendar Year (Jan - Dec), 2017",8,200.0,3928.0,61.64,33.88,40.49,56.21,34.15,69.93,47.76
56,India,Himachal Pradesh,Mandi,"Calendar Year (Jan - Dec), 2021",8,288.0,5892.0,56.7,43.42,38.39,40.41,32.04,47.62,36.79
57,India,Himachal Pradesh,Shimla,"Calendar Year (Jan - Dec), 2017",8,204.0,3584.0,62.99,31.89,35.52,56.47,29.66,71.95,47.36
58,India,Himachal Pradesh,Shimla,"Calendar Year (Jan - Dec), 2021",8,296.0,5572.0,63.61,46.31,42.57,41.6,32.23,52.63,45.52
59,India,Himachal Pradesh,Sirmaur,"Calendar Year (Jan - Dec), 2017",8,204.0,4964.0,51.8,29.7,30.31,44.08,24.75,56.23,41.64
